#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         697     2.68746     2.68654  0.00034505
         698     2.68737     2.68654 0.000344558
         699     2.68728     2.68654 0.000344067
         700      2.6872     2.68654 0.000343576
         701     2.68711     2.68654 0.000343087
         702     2.68703     2.68654 0.000342599
         703     2.68695     2.68654 0.000342112
         704     2.68688     2.68654 0.000341627
         705     2.68682     2.68654 0.000341142
         706     2.68677     2.68655 0.000340659
         707     2.68674     2.68655 0.000340178
         708     2.68672     2.68655 0.000339697
         709     2.68671     2.68655 0.000339218
         710     2.68671     2.68655  0.00033874
         711     2.68672     2.68655 0.000338264
         712     2.68674     2.68655 0.000337789
         713     2.68678     2.68655 0.000337316
         714     2.68683     2.68655 0.000336843
         715     2.68688     2.68655 0.000336373
         716     2.68694     2.68655 0.000335903
         717     2.68701     2.68655 0.000335435
         718     2.68709     2.68655 0.000334969
         719     2.68717     2.68655 0.000334504
         720     2.68727     2.68655 0.000334041
         721     2.68737     2.68655  0.00033358
         722     2.68746     2.68655  0.00033312
         723     2.68757     2.68656 0.000332662
         724     2.68768     2.68656 0.000332206
         725     2.68779     2.68656 0.000331753
         726     2.68791     2.68656 0.000331301
         727     2.68802     2.68656 0.000330851
         728     2.68813     2.68656 0.000330404
