#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         300     4.25301     4.19712     0.01387
         301     4.24706     4.19728   0.0138249
         302     4.24178     4.19743   0.0137799
         303     4.23725     4.19756   0.0137351
         304     4.23353     4.19768   0.0136904
         305     4.23067     4.19779   0.0136459
         306     4.22871     4.19789   0.0136017
         307     4.22767     4.19799   0.0135578
         308     4.22756     4.19808   0.0135141
         309     4.22835     4.19818   0.0134707
         310     4.23002     4.19828   0.0134276
         311     4.23252     4.19839   0.0133849
         312     4.23578     4.19851   0.0133426
         313     4.23972     4.19864   0.0133006
         314     4.24426     4.19879    0.013259
         315      4.2493     4.19895   0.0132179
         316     4.25474     4.19913   0.0131772
         317     4.26046     4.19932   0.0131371
         318     4.26637     4.19953   0.0130975
         319     4.27237     4.19976   0.0130584
         320     4.27836         4.2   0.0130199
         321     4.28425     4.20027    0.012982
         322     4.28996     4.20055   0.0129447
         323     4.29543     4.20084   0.0129079
         324     4.30059     4.20115   0.0128718
         325     4.30539     4.20147   0.0128361
         326     4.30981      4.2018   0.0128011
         327     4.31381     4.20214   0.0127665
         328     4.31739     4.20249   0.0127324
         329     4.32055     4.20285   0.0126988
         330     4.32329     4.20322   0.0126655
         331     4.32564     4.20359   0.0126327
         332     4.32765     4.20396   0.0126001
         333     4.32934     4.20434   0.0125679
         334     4.33077     4.20472    0.012536
         335     4.33201      4.2051   0.0125043
         336     4.33312     4.20548   0.0124729
         337     4.33417     4.20586   0.0124418
         338     4.33523     4.20624   0.0124108
         339     4.33637     4.20663   0.0123802
         340     4.33766     4.20701   0.0123497
         341     4.33916      4.2074   0.0123196
         342     4.34091     4.20779   0.0122898
         343     4.34296     4.20818   0.0122603
         344     4.34534     4.20858   0.0122311
         345     4.34806     4.20899   0.0122023
         346     4.35111      4.2094    0.012174
         347     4.35448     4.20982   0.0121461
         348     4.35815     4.21024   0.0121186
         349     4.36206     4.21068   0.0120917
         350     4.36618     4.21112   0.0120653
         351     4.37044     4.21157   0.0120395
         352     4.37478     4.21204   0.0120142
         353     4.37914     4.21251   0.0119895
         354     4.38345     4.21299   0.0119653
         355     4.38764     4.21349   0.0119418
         356     4.39167     4.21399   0.0119187
         357     4.39547      4.2145   0.0118961
         358       4.399     4.21501   0.0118741
         359     4.40222     4.21553   0.0118524
         360     4.40508     4.21606   0.0118312
         361     4.40757     4.21659   0.0118103
         362     4.40965     4.21712   0.0117897
         363     4.41131     4.21766   0.0117694
         364     4.41255     4.21819   0.0117492
         365     4.41336     4.21873   0.0117292
         366     4.41374     4.21926   0.0117092
         367     4.41369     4.21979   0.0116893
         368     4.41322     4.22032   0.0116694
         369     4.41235     4.22084   0.0116493
         370     4.41109     4.22135   0.0116292
         371     4.40946     4.22186   0.0116089
         372     4.40748     4.22236   0.0115884
         373     4.40517     4.22285   0.0115677
         374     4.40256     4.22333   0.0115467
         375     4.39968      4.2238   0.0115255
         376     4.39655     4.22426    0.011504
         377      4.3932     4.22471   0.0114822
         378     4.38966     4.22514   0.0114602
         379     4.38596     4.22557   0.0114378
         380     4.38214     4.22598   0.0114151
         381     4.37821     4.22638   0.0113921
         382     4.37422     4.22676   0.0113689
         383     4.37019     4.22714   0.0113454
         384     4.36615      4.2275   0.0113216
         385     4.36212     4.22785   0.0112976
         386     4.35813     4.22819   0.0112733
         387     4.35421     4.22851   0.0112489
         388     4.35036     4.22883   0.0112243
         389     4.34662     4.22913   0.0111995
         390     4.34298     4.22942   0.0111746
         391     4.33946      4.2297   0.0111496
         392     4.33607     4.22998   0.0111244
         393      4.3328     4.23024   0.0110992
         394     4.32965     4.23049   0.0110739
         395     4.32662     4.23073   0.0110486
         396      4.3237     4.23097   0.0110231
         397     4.32088     4.23119   0.0109977
         398     4.31812     4.23141   0.0109722
         399     4.31543     4.23162   0.0109468
         400     4.31278     4.23183   0.0109213
         401     4.31014     4.23202   0.0108958
         402     4.30749     4.23221   0.0108703
         403     4.30481     4.23239   0.0108448
         404     4.30209     4.23256   0.0108193
         405     4.29929     4.23273   0.0107939
         406     4.29642     4.23288   0.0107684
         407     4.29347     4.23303    0.010743
         408     4.29043     4.23317   0.0107176
         409      4.2873     4.23331   0.0106922
         410     4.28411     4.23343   0.0106669
         411     4.28088     4.23354   0.0106415
         412     4.27764     4.23365   0.0106162
         413     4.27444     4.23375    0.010591
