#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         300    -1.56086    -1.51151   0.0138682
         301    -1.55557    -1.51166   0.0138229
         302    -1.55104    -1.51179   0.0137778
         303    -1.54731    -1.51191   0.0137328
         304    -1.54445    -1.51202    0.013688
         305    -1.54249    -1.51212   0.0136435
         306    -1.54146    -1.51221   0.0135993
         307    -1.54134    -1.51231   0.0135553
         308    -1.54214     -1.5124   0.0135116
         309    -1.54382     -1.5125   0.0134683
         310    -1.54632    -1.51261   0.0134253
         311    -1.54959    -1.51273   0.0133827
         312    -1.55354    -1.51286   0.0133404
         313    -1.55809    -1.51301   0.0132986
         314    -1.56313    -1.51317   0.0132572
         315    -1.56857    -1.51334   0.0132162
         316    -1.57429    -1.51354   0.0131758
         317    -1.58021    -1.51375   0.0131359
         318    -1.58621    -1.51397   0.0130966
         319     -1.5922    -1.51422   0.0130579
         320    -1.59809    -1.51448   0.0130197
         321    -1.60381    -1.51476   0.0129821
         322    -1.60928    -1.51505   0.0129451
         323    -1.61445    -1.51536   0.0129087
         324    -1.61925    -1.51568   0.0128728
         325    -1.62367    -1.51601   0.0128375
         326    -1.62768    -1.51636   0.0128027
         327    -1.63125    -1.51671   0.0127683
         328     -1.6344    -1.51707   0.0127345
         329    -1.63715    -1.51743    0.012701
         330     -1.6395     -1.5178   0.0126679
         331     -1.6415    -1.51818   0.0126351
         332    -1.64319    -1.51855   0.0126027
         333    -1.64462    -1.51893   0.0125705
         334    -1.64586    -1.51931   0.0125386
         335    -1.64695    -1.51969    0.012507
         336      -1.648    -1.52007   0.0124756
         337    -1.64905    -1.52046   0.0124444
         338    -1.65018    -1.52084   0.0124135
         339    -1.65147    -1.52123   0.0123829
         340    -1.65296    -1.52161   0.0123525
         341    -1.65472      -1.522   0.0123225
         342    -1.65677     -1.5224   0.0122927
         343    -1.65914     -1.5228   0.0122634
         344    -1.66185     -1.5232   0.0122344
         345     -1.6649    -1.52361   0.0122058
         346    -1.66827    -1.52403   0.0121777
         347    -1.67195    -1.52446   0.0121501
         348    -1.67586    -1.52489   0.0121229
         349    -1.67998    -1.52533   0.0120963
         350    -1.68424    -1.52579   0.0120703
         351    -1.68858    -1.52625   0.0120448
         352    -1.69294    -1.52673   0.0120199
         353    -1.69726    -1.52721   0.0119955
         354    -1.70146     -1.5277   0.0119718
         355    -1.70549     -1.5282   0.0119485
         356     -1.7093    -1.52871   0.0119258
         357    -1.71283    -1.52923   0.0119035
         358    -1.71604    -1.52975   0.0118817
         359    -1.71891    -1.53028   0.0118603
         360    -1.72139    -1.53081   0.0118392
         361    -1.72348    -1.53134   0.0118184
         362    -1.72514    -1.53188   0.0117979
         363    -1.72638    -1.53241   0.0117776
         364    -1.72718    -1.53295   0.0117574
         365    -1.72756    -1.53348   0.0117372
         366     -1.7275    -1.53401   0.0117171
         367    -1.72703    -1.53454    0.011697
         368    -1.72615    -1.53506   0.0116768
         369    -1.72489    -1.53557   0.0116565
         370    -1.72326    -1.53608    0.011636
         371    -1.72128    -1.53658   0.0116153
         372    -1.71897    -1.53707   0.0115945
         373    -1.71636    -1.53755   0.0115733
         374    -1.71346    -1.53802   0.0115519
         375    -1.71032    -1.53848   0.0115303
         376    -1.70697    -1.53893   0.0115083
         377    -1.70343    -1.53936   0.0114861
         378    -1.69973    -1.53979   0.0114635
         379     -1.6959     -1.5402   0.0114407
         380    -1.69198     -1.5406   0.0114175
         381    -1.68798    -1.54098   0.0113941
         382    -1.68395    -1.54136   0.0113704
         383     -1.6799    -1.54172   0.0113465
         384    -1.67587    -1.54207   0.0113223
         385    -1.67188    -1.54241   0.0112979
         386    -1.66795    -1.54273   0.0112733
         387     -1.6641    -1.54305   0.0112486
         388    -1.66036    -1.54335   0.0112236
         389    -1.65672    -1.54364   0.0111986
         390     -1.6532    -1.54392   0.0111734
         391     -1.6498    -1.54419   0.0111481
         392    -1.64653    -1.54445   0.0111227
         393    -1.64338     -1.5447   0.0110972
         394    -1.64035    -1.54495   0.0110717
         395    -1.63743    -1.54518   0.0110462
         396    -1.63461    -1.54541   0.0110206
         397    -1.63186    -1.54563    0.010995
         398    -1.62917    -1.54583   0.0109694
         399    -1.62651    -1.54604   0.0109437
         400    -1.62387    -1.54623   0.0109181
         401    -1.62122    -1.54642   0.0108925
         402    -1.61853     -1.5466   0.0108669
         403    -1.61581    -1.54677   0.0108412
         404    -1.61302    -1.54693   0.0108157
         405    -1.61014    -1.54709   0.0107901
         406    -1.60718    -1.54724   0.0107645
         407    -1.60413    -1.54738    0.010739
         408      -1.601    -1.54751   0.0107135
         409    -1.59781    -1.54763    0.010688
         410    -1.59458    -1.54775   0.0106625
         411    -1.59132    -1.54785   0.0106371
         412    -1.58811    -1.54795   0.0106117
         413    -1.58498    -1.54804   0.0105864
         414      -1.582    -1.54812   0.0105612
         415    -1.57922     -1.5482    0.010536
         416     -1.5767    -1.54827   0.0105109
         417    -1.57452    -1.54833   0.0104859
         418    -1.57273    -1.54839   0.0104609
         419     -1.5714    -1.54844   0.0104361
         420    -1.57057    -1.54849   0.0104114
         421    -1.57028    -1.54855   0.0103868
         422    -1.57056     -1.5486   0.0103623
         423    -1.57142    -1.54865    0.010338
         424    -1.57284    -1.54871   0.0103137
         425    -1.57481    -1.54877   0.0102896
         426    -1.57729    -1.54884   0.0102657
         427    -1.58021    -1.54891   0.0102419
         428    -1.58352    -1.54899   0.0102183
         429    -1.58715    -1.54908   0.0101949
         430      -1.591    -1.54918   0.0101716
         431    -1.59501    -1.54928   0.0101486
         432    -1.59906     -1.5494   0.0101258
         433     -1.6031    -1.54952   0.0101031
         434    -1.60701    -1.54966   0.0100807
         435    -1.61075     -1.5498   0.0100585
         436    -1.61421    -1.54994   0.0100365
         437    -1.61737     -1.5501   0.0100148
         438    -1.62016    -1.55026  0.00999318
         439    -1.62254    -1.55042  0.00997177
         440    -1.62447    -1.55059  0.00995053
         441    -1.62592    -1.55076  0.00992943
         442    -1.62688    -1.55093  0.00990846
         443    -1.62735    -1.55111  0.00988759
         444    -1.62731    -1.55128  0.00986681
         445    -1.62678    -1.55145   0.0098461
         446    -1.62577    -1.55162  0.00982543
         447     -1.6243    -1.55178   0.0098048
         448    -1.62239    -1.55194  0.00978418
         449    -1.62007    -1.55209  0.00976356
         450    -1.61738    -1.55223  0.00974294
         451    -1.61433    -1.55237  0.00972231
         452    -1.61098     -1.5525  0.00970167
         453    -1.60736    -1.55262  0.00968101
         454    -1.60352    -1.55273  0.00966033
         455    -1.59949    -1.55284  0.00963965
         456    -1.59532    -1.55293  0.00961896
         457    -1.59103    -1.55301  0.00959827
         458    -1.58667    -1.55309   0.0095776
         459    -1.58228    -1.55315  0.00955694
         460     -1.5779     -1.5532  0.00953632
         461    -1.57353    -1.55325  0.00951573
         462    -1.56921    -1.55328   0.0094952
         463    -1.56497    -1.55331  0.00947472
         464    -1.56081    -1.55332  0.00945432
         465    -1.55674    -1.55333  0.00943399
         466    -1.55275    -1.55333  0.00941374
         467    -1.54884    -1.55332  0.00939359
         468      -1.545     -1.5533  0.00937354
         469    -1.54119    -1.55328  0.00935359
         470    -1.53743    -1.55324  0.00933375
         471    -1.53365     -1.5532  0.00931402
         472    -1.52985    -1.55315  0.00929442
         473    -1.52598    -1.55309  0.00927495
         474    -1.52203    -1.55303  0.00925561
         475    -1.51796    -1.55295  0.00923642
         476    -1.51374    -1.55287  0.00921738
         477    -1.50936    -1.55278  0.00919851
         478    -1.50482    -1.55268  0.00917982
         479    -1.50008    -1.55257  0.00916131
         480    -1.49517    -1.55245    0.009143
         481    -1.49006    -1.55232  0.00912491
         482    -1.48475    -1.55218  0.00910706
         483    -1.47928    -1.55203  0.00908945
         484    -1.47363    -1.55187  0.00907212
         485    -1.46782     -1.5517  0.00905507
         486    -1.46185    -1.55151  0.00903832
         487    -1.45572    -1.55131   0.0090219
         488    -1.44943     -1.5511  0.00900583
         489    -1.44296    -1.55088  0.00899013
         490    -1.43632    -1.55065  0.00897482
         491    -1.42947     -1.5504  0.00895994
         492    -1.42242    -1.55014   0.0089455
         493    -1.41515    -1.54987  0.00893154
         494    -1.40766    -1.54958   0.0089181
         495    -1.39996    -1.54928  0.00890521
         496     -1.3921    -1.54896  0.00889289
         497    -1.38414    -1.54863  0.00888118
         498    -1.37615    -1.54828  0.00887009
         499    -1.36825    -1.54792  0.00885965
         500    -1.36062    -1.54755  0.00884985
         501    -1.35342    -1.54716  0.00884066
         502    -1.34686    -1.54676  0.00883205
         503    -1.34117    -1.54635  0.00882395
         504    -1.33659    -1.54594  0.00881625
         505    -1.33334    -1.54552  0.00880884
         506     -1.3316    -1.54509  0.00880157
         507    -1.33151    -1.54467  0.00879428
         508    -1.33318    -1.54426  0.00878682
         509    -1.33662    -1.54385  0.00877902
         510     -1.3418    -1.54345  0.00877074
         511    -1.34859    -1.54307  0.00876186
         512    -1.35682    -1.54271   0.0087523
         513    -1.36627    -1.54236  0.00874199
         514    -1.37666    -1.54204  0.00873093
         515    -1.38773    -1.54174  0.00871911
         516    -1.39921    -1.54146  0.00870659
         517    -1.41085    -1.54121  0.00869341
         518    -1.42238    -1.54098  0.00867966
         519    -1.43363    -1.54078   0.0086654
         520    -1.44442    -1.54059  0.00865071
         521     -1.4546    -1.54043  0.00863569
         522    -1.46408    -1.54028  0.00862038
         523    -1.47279    -1.54015  0.00860486
         524    -1.48068    -1.54004  0.00858919
         525    -1.48773    -1.53994  0.00857341
         526    -1.49395    -1.53985  0.00855755
         527    -1.49934    -1.53977  0.00854166
         528    -1.50393     -1.5397  0.00852575
         529    -1.50773    -1.53964  0.00850985
         530    -1.51078    -1.53959  0.00849397
         531    -1.51314    -1.53954  0.00847812
         532    -1.51483    -1.53949  0.00846231
         533     -1.5159    -1.53945  0.00844655
         534    -1.51638    -1.53941  0.00843084
         535    -1.51632    -1.53936  0.00841519
         536    -1.51574    -1.53932  0.00839961
         537     -1.5147    -1.53927  0.00838409
         538    -1.51323    -1.53922  0.00836865
         539    -1.51138    -1.53917  0.00835328
         540    -1.50919    -1.53912    0.008338
         541     -1.5067    -1.53906   0.0083228
         542    -1.50397    -1.53899   0.0083077
         543    -1.50106    -1.53892  0.00829269
         544    -1.49801    -1.53885  0.00827779
         545    -1.49492    -1.53877  0.00826299
         546    -1.49183    -1.53868  0.00824831
         547    -1.48881    -1.53859  0.00823373
         548    -1.48595    -1.53849  0.00821927
         549    -1.48332    -1.53839  0.00820491
         550    -1.48098    -1.53829  0.00819065
         551      -1.479    -1.53818   0.0081765
         552    -1.47743    -1.53807  0.00816242
         553    -1.47634    -1.53796  0.00814843
         554    -1.47576    -1.53785  0.00813449
         555    -1.47572    -1.53774  0.00812061
         556    -1.47625    -1.53762  0.00810675
         557    -1.47735    -1.53752  0.00809292
         558      -1.479    -1.53741   0.0080791
         559     -1.4812    -1.53731  0.00806527
         560     -1.4839    -1.53722  0.00805143
         561    -1.48707    -1.53713  0.00803758
         562    -1.49064    -1.53704   0.0080237
         563    -1.49456    -1.53697   0.0080098
         564    -1.49875     -1.5369  0.00799589
         565    -1.50318    -1.53684  0.00798196
         566    -1.50774    -1.53679  0.00796802
         567    -1.51238    -1.53675  0.00795409
         568    -1.51703    -1.53671  0.00794016
         569    -1.52163    -1.53669  0.00792625
         570    -1.52613    -1.53667  0.00791236
         571    -1.53046    -1.53666  0.00789851
         572    -1.53459    -1.53665  0.00788471
         573    -1.53847    -1.53666  0.00787095
         574    -1.54207    -1.53666  0.00785724
         575    -1.54536    -1.53668  0.00784359
         576    -1.54831     -1.5367     0.00783
         577    -1.55092    -1.53672  0.00781647
         578    -1.55315    -1.53675  0.00780299
         579      -1.555    -1.53678  0.00778958
         580    -1.55647    -1.53682  0.00777622
         581    -1.55755    -1.53685  0.00776292
         582    -1.55824    -1.53689  0.00774967
         583    -1.55856    -1.53693  0.00773647
         584     -1.5585    -1.53697  0.00772331
         585    -1.55806      -1.537  0.00771019
         586    -1.55726    -1.53704  0.00769711
         587    -1.55611    -1.53707  0.00768407
         588    -1.55462     -1.5371  0.00767106
         589    -1.55279    -1.53712  0.00765808
