#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         296     2.85463     2.79748  0.00936675
         297     2.84941     2.79766  0.00933684
         298     2.84442     2.79781  0.00930683
         299     2.83971     2.79795  0.00927676
         300     2.83534     2.79808  0.00924667
         301     2.83137     2.79819  0.00921661
         302     2.82785     2.79829  0.00918662
         303     2.82483     2.79837  0.00915672
         304     2.82235     2.79845  0.00912694
         305     2.82044     2.79853   0.0090973
         306     2.81914     2.79859  0.00906782
         307     2.81845     2.79866  0.00903851
         308     2.81837     2.79872  0.00900939
         309      2.8189     2.79879  0.00898047
         310     2.82001     2.79886  0.00895176
         311     2.82168     2.79893  0.00892328
         312     2.82385     2.79901  0.00889504
         313     2.82648      2.7991  0.00886705
         314     2.82951     2.79919  0.00883934
         315     2.83287      2.7993  0.00881193
         316     2.83649     2.79942  0.00878483
         317     2.84031     2.79955  0.00875806
         318     2.84425     2.79969  0.00873165
         319     2.84825     2.79984   0.0087056
         320     2.85224         2.8  0.00867994
         321     2.85617     2.80018  0.00865466
         322     2.85997     2.80036  0.00862978
         323     2.86362     2.80056  0.00860528
         324     2.86706     2.80076  0.00858117
         325     2.87026     2.80098  0.00855743
         326     2.87321      2.8012  0.00853405
         327     2.87587     2.80143    0.008511
         328     2.87826     2.80166  0.00848828
         329     2.88036      2.8019  0.00846585
         330     2.88219     2.80215  0.00844369
         331     2.88376     2.80239  0.00842178
         332      2.8851     2.80264  0.00840009
         333     2.88622     2.80289  0.00837862
         334     2.88718     2.80314  0.00835733
         335     2.88801      2.8034  0.00833622
         336     2.88875     2.80365  0.00831528
         337     2.88945     2.80391   0.0082945
         338     2.89015     2.80416  0.00827389
         339     2.89091     2.80442  0.00825344
         340     2.89177     2.80467  0.00823316
         341     2.89277     2.80493  0.00821307
         342     2.89394     2.80519  0.00819318
         343     2.89531     2.80546   0.0081735
         344     2.89689     2.80572  0.00815406
         345     2.89871     2.80599  0.00813488
         346     2.90074     2.80626  0.00811598
         347     2.90299     2.80654  0.00809737
         348     2.90543     2.80683  0.00807909
         349     2.90804     2.80712  0.00806114
         350     2.91079     2.80741  0.00804355
         351     2.91363     2.80772  0.00802633
         352     2.91652     2.80803  0.00800947
         353     2.91942     2.80834    0.007993
         354      2.9223     2.80866   0.0079769
         355      2.9251     2.80899  0.00796117
         356     2.92778     2.80932   0.0079458
         357     2.93032     2.80966  0.00793076
         358     2.93267     2.81001  0.00791605
         359     2.93481     2.81035  0.00790163
         360     2.93672     2.81071  0.00788747
         361     2.93838     2.81106  0.00787355
         362     2.93977     2.81142  0.00785982
         363     2.94088     2.81177  0.00784626
         364      2.9417     2.81213  0.00783282
         365     2.94224     2.81249  0.00781946
         366     2.94249     2.81284  0.00780616
         367     2.94246     2.81319  0.00779288
         368     2.94215     2.81354  0.00777958
         369     2.94157     2.81389  0.00776623
         370     2.94073     2.81423   0.0077528
         371     2.93964     2.81457  0.00773927
         372     2.93832      2.8149  0.00772561
         373     2.93678     2.81523   0.0077118
         374     2.93504     2.81555  0.00769783
         375     2.93312     2.81587  0.00768369
         376     2.93103     2.81617  0.00766935
         377      2.9288     2.81647  0.00765483
         378     2.92644     2.81676   0.0076401
         379     2.92398     2.81704  0.00762518
         380     2.92142     2.81732  0.00761006
         381     2.91881     2.81758  0.00759475
         382     2.91615     2.81784  0.00757925
         383     2.91346     2.81809  0.00756357
         384     2.91076     2.81833  0.00754772
         385     2.90808     2.81857  0.00753171
         386     2.90542     2.81879  0.00751556
         387     2.90281     2.81901  0.00749928
         388     2.90024     2.81922  0.00748287
         389     2.89774     2.81942  0.00746636
