#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         386     1.09692     1.22572   0.0142367
         387     1.09882     1.22539   0.0142037
         388     1.10063     1.22507   0.0141707
         389     1.10234     1.22475   0.0141378
         390     1.10396     1.22444    0.014105
         391     1.10547     1.22414   0.0140722
         392     1.10687     1.22384   0.0140394
         393     1.10815     1.22354   0.0140068
         394     1.10931     1.22325   0.0139743
         395     1.11035     1.22297   0.0139418
         396     1.11125     1.22269   0.0139094
         397     1.11202     1.22241   0.0138772
         398     1.11263     1.22213   0.0138451
         399      1.1131     1.22186   0.0138131
         400      1.1134     1.22159   0.0137812
         401     1.11354     1.22132   0.0137495
         402     1.11352     1.22105   0.0137179
         403     1.11331     1.22078   0.0136864
         404     1.11294     1.22052   0.0136552
         405     1.11238     1.22025   0.0136241
         406     1.11165     1.21998   0.0135931
         407     1.11074     1.21971   0.0135624
         408     1.10967     1.21944   0.0135318
         409     1.10843     1.21917   0.0135015
         410     1.10705      1.2189   0.0134713
         411     1.10554     1.21862   0.0134413
         412     1.10391     1.21834   0.0134116
         413     1.10218     1.21806   0.0133821
         414     1.10038     1.21778   0.0133528
         415     1.09853     1.21749   0.0133237
         416     1.09665      1.2172   0.0132948
         417     1.09478     1.21691   0.0132662
         418     1.09295     1.21661   0.0132378
         419     1.09117     1.21631   0.0132096
         420     1.08947     1.21601   0.0131816
         421     1.08788      1.2157   0.0131538
         422     1.08641      1.2154   0.0131262
         423     1.08509     1.21509   0.0130987
         424     1.08392     1.21478   0.0130715
         425      1.0829     1.21447   0.0130444
         426     1.08205     1.21416   0.0130175
         427     1.08135     1.21385   0.0129907
         428      1.0808     1.21354   0.0129641
         429     1.08038     1.21323   0.0129376
         430     1.08008     1.21292   0.0129112
         431     1.07987     1.21261    0.012885
         432     1.07974      1.2123   0.0128588
         433     1.07966       1.212   0.0128327
         434      1.0796     1.21169   0.0128068
         435     1.07954     1.21139    0.012781
         436     1.07947     1.21108   0.0127552
         437     1.07935     1.21078   0.0127296
         438     1.07918     1.21048   0.0127041
         439     1.07893     1.21018   0.0126787
         440     1.07859     1.20988   0.0126534
         441     1.07815     1.20958   0.0126282
         442     1.07761     1.20929   0.0126032
         443     1.07696     1.20899   0.0125783
         444      1.0762     1.20869   0.0125535
         445     1.07534     1.20839   0.0125289
         446     1.07438     1.20809   0.0125044
         447     1.07332     1.20779     0.01248
         448     1.07218     1.20748   0.0124559
         449     1.07096     1.20718   0.0124318
         450     1.06967     1.20687    0.012408
         451     1.06832     1.20657   0.0123842
         452     1.06694     1.20626   0.0123607
         453     1.06552     1.20595   0.0123373
         454     1.06409     1.20563   0.0123141
         455     1.06264     1.20532    0.012291
         456      1.0612       1.205   0.0122681
         457     1.05977     1.20469   0.0122454
         458     1.05836     1.20437   0.0122228
         459     1.05697     1.20405   0.0122004
         460     1.05561     1.20372   0.0121782
         461      1.0543      1.2034   0.0121561
         462     1.05303     1.20307   0.0121341
         463     1.05181     1.20275   0.0121123
         464     1.05065     1.20242   0.0120906
         465     1.04954     1.20209   0.0120691
         466     1.04851     1.20176   0.0120477
         467     1.04754     1.20143   0.0120264
         468     1.04666      1.2011   0.0120053
         469     1.04586     1.20077   0.0119842
         470     1.04514     1.20044   0.0119633
         471     1.04453     1.20011   0.0119425
         472     1.04402     1.19978   0.0119218
         473     1.04363     1.19945   0.0119011
         474     1.04335     1.19912   0.0118806
         475      1.0432     1.19879   0.0118601
         476     1.04318     1.19846   0.0118397
         477     1.04329     1.19814   0.0118193
         478     1.04353     1.19781    0.011799
         479      1.0439     1.19749   0.0117788
         480     1.04439     1.19717   0.0117586
         481     1.04499     1.19686   0.0117384
         482     1.04571     1.19654   0.0117182
         483     1.04651     1.19623   0.0116981
         484     1.04739     1.19592   0.0116779
         485     1.04833     1.19562   0.0116578
         486     1.04932     1.19532   0.0116377
         487     1.05032     1.19502   0.0116176
         488     1.05132     1.19473   0.0115976
         489     1.05231     1.19444   0.0115775
         490     1.05325     1.19415   0.0115575
         491     1.05413     1.19386   0.0115374
         492     1.05493     1.19358   0.0115174
         493     1.05563      1.1933   0.0114975
         494     1.05622     1.19302   0.0114776
         495     1.05668     1.19275   0.0114577
         496       1.057     1.19247   0.0114378
         497     1.05717      1.1922   0.0114181
         498     1.05718     1.19193   0.0113984
         499     1.05703     1.19166   0.0113787
         500      1.0567     1.19139   0.0113592
         501      1.0562     1.19112   0.0113397
         502     1.05552     1.19085   0.0113203
         503     1.05466     1.19058   0.0113011
         504     1.05362     1.19031   0.0112819
         505     1.05241     1.19003   0.0112629
         506     1.05102     1.18976    0.011244
         507     1.04945     1.18948   0.0112252
         508     1.04773      1.1892   0.0112065
         509     1.04585     1.18892   0.0111881
         510     1.04381     1.18864   0.0111698
         511     1.04164     1.18835   0.0111516
         512     1.03935     1.18806   0.0111336
         513     1.03694     1.18776   0.0111158
         514     1.03443     1.18747   0.0110982
         515     1.03184     1.18716   0.0110807
         516     1.02919     1.18686   0.0110635
         517     1.02648     1.18655   0.0110464
         518     1.02375     1.18623   0.0110296
         519       1.021     1.18591   0.0110129
         520     1.01826     1.18559   0.0109965
         521     1.01553     1.18527   0.0109802
         522     1.01284     1.18494   0.0109641
         523     1.01019      1.1846   0.0109483
         524      1.0076     1.18426   0.0109326
         525     1.00507     1.18392   0.0109171
         526     1.00262     1.18358   0.0109018
         527     1.00024     1.18323   0.0108866
         528    0.997934     1.18288   0.0108717
         529    0.995709     1.18253   0.0108569
         530    0.993562     1.18217   0.0108422
         531    0.991491     1.18181   0.0108278
         532    0.989493     1.18145   0.0108135
         533    0.987566     1.18108   0.0107993
         534    0.985707     1.18072   0.0107853
         535    0.983915     1.18035   0.0107714
         536     0.98219     1.17998   0.0107576
         537    0.980533     1.17961    0.010744
         538    0.978946     1.17924   0.0107305
         539    0.977433     1.17886   0.0107171
         540    0.975998     1.17849   0.0107038
         541    0.974649     1.17811   0.0106907
         542    0.973393     1.17773   0.0106776
         543    0.972242     1.17735   0.0106647
         544    0.971204     1.17697   0.0106518
         545    0.970291      1.1766    0.010639
         546    0.969512     1.17622   0.0106263
         547    0.968879     1.17584   0.0106136
         548    0.968402     1.17546    0.010601
         549    0.968091     1.17508   0.0105884
         550    0.967957      1.1747   0.0105759
         551    0.968004     1.17433   0.0105633
         552    0.968241     1.17396   0.0105508
         553     0.96867     1.17358   0.0105382
         554    0.969294     1.17322   0.0105256
         555    0.970113     1.17285    0.010513
         556    0.971126     1.17249   0.0105004
         557    0.972331     1.17213   0.0104877
         558    0.973727     1.17177   0.0104749
         559    0.975308     1.17142   0.0104621
         560    0.977067     1.17107   0.0104491
         561       0.979     1.17073   0.0104361
         562    0.981097     1.17039    0.010423
         563    0.983349     1.17006   0.0104098
         564    0.985748     1.16973   0.0103965
         565    0.988284     1.16941    0.010383
         566    0.990945      1.1691   0.0103695
         567    0.993721     1.16879   0.0103558
         568    0.996603     1.16849    0.010342
         569     0.99958     1.16819   0.0103281
         570     1.00264      1.1679    0.010314
         571     1.00578     1.16761   0.0102999
         572     1.00899     1.16734   0.0102856
         573     1.01226     1.16707   0.0102712
         574     1.01557      1.1668   0.0102567
         575     1.01893     1.16655   0.0102421
         576     1.02233      1.1663   0.0102274
         577     1.02576     1.16605   0.0102126
         578     1.02921     1.16581   0.0101976
         579     1.03269     1.16558   0.0101826
         580     1.03619     1.16536   0.0101675
         581      1.0397     1.16515   0.0101523
         582     1.04324     1.16494    0.010137
         583     1.04679     1.16473   0.0101216
         584     1.05037     1.16454   0.0101062
         585     1.05396     1.16435   0.0100907
         586     1.05758     1.16417   0.0100751
         587     1.06122     1.16399   0.0100595
         588     1.06489     1.16382   0.0100438
         589     1.06858     1.16366    0.010028
         590     1.07231     1.16351   0.0100122
         591     1.07607     1.16336  0.00999639
         592     1.07985     1.16322   0.0099805
         593     1.08366     1.16308  0.00996457
         594      1.0875     1.16296  0.00994861
         595     1.09135     1.16284  0.00993262
         596     1.09521     1.16272   0.0099166
         597     1.09907     1.16262  0.00990056
         598     1.10293     1.16252  0.00988451
         599     1.10677     1.16242  0.00986845
         600     1.11057     1.16234  0.00985238
         601     1.11432     1.16226  0.00983631
         602     1.11801     1.16218  0.00982024
         603     1.12161     1.16212  0.00980419
         604     1.12513     1.16205  0.00978815
         605     1.12853       1.162  0.00977213
         606     1.13181     1.16195  0.00975613
         607     1.13495      1.1619  0.00974016
         608     1.13794     1.16186  0.00972421
         609     1.14076     1.16183  0.00970831
         610     1.14342      1.1618  0.00969244
         611      1.1459     1.16177  0.00967661
         612     1.14819     1.16175  0.00966083
         613     1.15029     1.16173  0.00964508
         614      1.1522     1.16172  0.00962939
         615     1.15391      1.1617  0.00961374
         616     1.15543     1.16169  0.00959814
         617     1.15676     1.16169  0.00958259
         618     1.15791     1.16168  0.00956708
         619     1.15888     1.16168  0.00955163
         620     1.15968     1.16167  0.00953622
         621     1.16032     1.16167  0.00952087
         622     1.16081     1.16167  0.00950556
         623     1.16116     1.16167   0.0094903
