#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
         354    -3.82004    -3.82186 0.000581343
         355    -3.82065    -3.82186 0.000579715
         356    -3.82096    -3.82185 0.000578092
         357    -3.82157    -3.82185 0.000576474
         358    -3.82157    -3.82185 0.000574864
         359    -3.82232    -3.82185 0.000573264
         360     -3.8223    -3.82185 0.000571673
         361    -3.82256    -3.82186 0.000570093
         362    -3.82266    -3.82186 0.000568522
         363     -3.8229    -3.82186 0.000566963
         364    -3.82282    -3.82186 0.000565412
         365    -3.82241    -3.82187 0.000563865
         366    -3.82305    -3.82187 0.000562333
         367    -3.82306    -3.82187  0.00056081
         368    -3.82335    -3.82188 0.000559301
         369    -3.82362    -3.82188 0.000557805
         370    -3.82311    -3.82188 0.000556307
         371    -3.82303    -3.82189 0.000554816
         372    -3.82294    -3.82189 0.000553332
         373    -3.82298    -3.82189 0.000551856
         374    -3.82284     -3.8219 0.000550387
         375    -3.82284     -3.8219 0.000548925
         376    -3.82267     -3.8219 0.000547469
         377    -3.82234     -3.8219 0.000546018
         378    -3.82214     -3.8219 0.000544574
         379    -3.82162     -3.8219 0.000543137
         380    -3.82155     -3.8219 0.000541709
         381    -3.82176     -3.8219 0.000540287
         382    -3.82197     -3.8219 0.000538873
         383    -3.82171     -3.8219 0.000537466
         384    -3.82129     -3.8219 0.000536069
         385    -3.82147     -3.8219 0.000534677
         386    -3.82119    -3.82189 0.000533295
         387     -3.8206    -3.82189 0.000531928
         388    -3.82076    -3.82189 0.000530565
         389    -3.82016    -3.82188 0.000529219
         390    -3.81985    -3.82188 0.000527888
         391    -3.81939    -3.82187 0.000526576
         392    -3.81967    -3.82187 0.000525263
         393    -3.81964    -3.82186 0.000523957
         394    -3.81945    -3.82186 0.000522663
         395     -3.8197    -3.82185 0.000521368
         396    -3.81964    -3.82184 0.000520081
         397    -3.81958    -3.82184 0.000518803
         398     -3.8192    -3.82183 0.000517542
         399    -3.81911    -3.82182  0.00051629
         400    -3.81841    -3.82182 0.000515069
         401    -3.81786    -3.82181  0.00051388
         402     -3.8179     -3.8218 0.000512693
         403    -3.81779    -3.82179 0.000511518
         404    -3.81691    -3.82177 0.000510394
         405     -3.8168    -3.82176 0.000509281
         406    -3.81684    -3.82175 0.000508171
         407    -3.81659    -3.82174 0.000507081
         408    -3.81665    -3.82173 0.000505991
         409    -3.81643    -3.82171 0.000504919
         410    -3.81623     -3.8217 0.000503865
         411     -3.8162    -3.82169 0.000502817
         412    -3.81605    -3.82167 0.000501782
         413    -3.81594    -3.82166 0.000500759
         414    -3.81602    -3.82164 0.000499735
         415    -3.81553    -3.82163 0.000498748
         416    -3.81538    -3.82161 0.000497775
         417    -3.81588     -3.8216 0.000496771
         418    -3.81581    -3.82159 0.000495776
         419    -3.81654    -3.82157 0.000494739
         420    -3.81715    -3.82156 0.000493674
         421    -3.81764    -3.82156 0.000492589
         422    -3.81785    -3.82155   0.0004915
         423    -3.81853    -3.82154  0.00049039
         424    -3.81862    -3.82153 0.000489282
         425    -3.81901    -3.82153 0.000488166
         426    -3.81924    -3.82152  0.00048705
