#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         431    -5.43991    -5.64041   0.0192556
         432    -5.44009    -5.63995   0.0192167
         433    -5.43985    -5.63949   0.0191778
         434    -5.44008    -5.63903   0.0191391
         435    -5.43967    -5.63857   0.0191006
         436    -5.43979    -5.63811   0.0190623
         437    -5.43983    -5.63766    0.019024
         438    -5.43886    -5.63721    0.018986
         439     -5.4385    -5.63675   0.0189482
         440    -5.43799     -5.6363   0.0189105
         441    -5.43733    -5.63585    0.018873
         442    -5.43636     -5.6354   0.0188357
         443    -5.43492    -5.63495   0.0187986
         444    -5.43378    -5.63449   0.0187617
         445    -5.43234    -5.63404   0.0187251
         446    -5.43075    -5.63358   0.0186886
         447    -5.42888    -5.63313   0.0186524
         448    -5.42674    -5.63267   0.0186165
         449     -5.4242     -5.6322   0.0185808
         450    -5.42219    -5.63173   0.0185454
         451    -5.42011    -5.63127   0.0185102
         452    -5.41723    -5.63079   0.0184753
         453    -5.41492    -5.63032   0.0184407
         454    -5.41291    -5.62984   0.0184063
         455    -5.41029    -5.62935   0.0183721
         456    -5.40814    -5.62887   0.0183382
         457    -5.40587    -5.62838   0.0183046
         458    -5.40364    -5.62789   0.0182712
         459    -5.40145     -5.6274   0.0182381
         460    -5.39918     -5.6269   0.0182052
         461    -5.39712     -5.6264   0.0181725
         462    -5.39514     -5.6259   0.0181401
         463     -5.3934     -5.6254   0.0181078
         464    -5.39174     -5.6249   0.0180758
         465    -5.39019    -5.62439    0.018044
         466    -5.38904    -5.62389   0.0180123
         467    -5.38771    -5.62338   0.0179808
         468    -5.38621    -5.62287   0.0179496
         469    -5.38484    -5.62237   0.0179185
         470    -5.38392    -5.62186   0.0178875
         471    -5.38346    -5.62135   0.0178567
         472    -5.38271    -5.62085    0.017826
         473    -5.38215    -5.62034   0.0177955
         474    -5.38162    -5.61984   0.0177651
         475    -5.38143    -5.61934   0.0177348
         476    -5.38114    -5.61884   0.0177046
         477    -5.38166    -5.61834   0.0176744
         478    -5.38236    -5.61785   0.0176443
         479    -5.38325    -5.61736   0.0176143
         480    -5.38416    -5.61687   0.0175843
         481    -5.38523    -5.61639   0.0175543
         482    -5.38628    -5.61591   0.0175244
         483    -5.38761    -5.61544   0.0174945
         484    -5.38887    -5.61497   0.0174646
         485    -5.39065    -5.61451   0.0174347
         486    -5.39231    -5.61405   0.0174048
         487    -5.39382     -5.6136    0.017375
         488    -5.39499    -5.61315   0.0173452
         489     -5.3964    -5.61271   0.0173153
         490    -5.39742    -5.61227   0.0172856
         491    -5.39877    -5.61183   0.0172558
         492    -5.39938     -5.6114   0.0172262
         493    -5.40041    -5.61097   0.0171965
         494    -5.40125    -5.61055    0.017167
         495    -5.40174    -5.61013   0.0171375
         496    -5.40214    -5.60971   0.0171081
         497    -5.40201    -5.60929   0.0170787
         498    -5.40269    -5.60887   0.0170495
         499     -5.4022    -5.60846   0.0170203
         500    -5.40144    -5.60805   0.0169913
         501    -5.40058    -5.60763   0.0169625
         502    -5.39929    -5.60722   0.0169338
         503    -5.39773     -5.6068   0.0169052
         504    -5.39561    -5.60638   0.0168769
         505    -5.39322    -5.60596   0.0168487
         506    -5.39163    -5.60554   0.0168207
