#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         339    -5.51467    -5.59996   0.0106776
         340    -5.50911     -5.5997   0.0106495
         341    -5.43391    -5.59921   0.0106294
         342    -5.42042    -5.59869   0.0106112
         343    -5.42631    -5.59819   0.0105921
         344    -5.39827     -5.5976   0.0105773
         345    -5.50596    -5.59734   0.0105499
         346    -5.53812    -5.59717   0.0105208
         347    -5.51967    -5.59694   0.0104929
         348    -5.53825    -5.59678   0.0104641
         349    -5.45353    -5.59637   0.0104422
         350    -5.42533    -5.59588   0.0104238
         351    -5.50497    -5.59562   0.0103973
         352    -5.46793    -5.59525   0.0103741
         353    -5.59815    -5.59526   0.0103447
         354    -5.57973    -5.59522   0.0103155
         355    -5.56907    -5.59515   0.0102868
         356    -5.48896    -5.59485   0.0102622
         357    -5.62153    -5.59492   0.0102337
         358    -5.60988    -5.59496   0.0102052
         359    -5.58744    -5.59494   0.0101768
         360    -5.60877    -5.59498   0.0101486
         361    -5.63281    -5.59509    0.010121
         362    -5.51344    -5.59486   0.0100956
         363    -5.52814    -5.59468   0.0100695
         364     -5.4755    -5.59435   0.0100471
         365    -5.57791     -5.5943   0.0100197
         366    -5.63963    -5.59443  0.00999307
         367    -5.62352    -5.59451  0.00996616
         368    -5.61117    -5.59455  0.00993918
         369    -5.62513    -5.59464  0.00991259
         370    -5.58794    -5.59462  0.00988581
         371    -5.50575    -5.59438  0.00986207
         372    -5.50913    -5.59415  0.00983822
         373    -5.39133     -5.5936  0.00982686
         374    -5.46356    -5.59326  0.00980673
         375    -5.45048    -5.59288  0.00978797
         376    -5.45673    -5.59251  0.00976863
         377    -5.61814    -5.59258  0.00974296
         378    -5.57206    -5.59253  0.00971733
         379    -5.64507    -5.59267  0.00969268
         380    -5.68051     -5.5929  0.00966993
         381    -5.59881    -5.59291  0.00964457
         382    -5.56537    -5.59284  0.00961959
         383    -5.63619    -5.59295  0.00959514
         384     -5.6342    -5.59306  0.00957075
         385    -5.66435    -5.59325  0.00954768
         386    -5.74849    -5.59365  0.00953141
         387    -5.63853    -5.59377  0.00950749
         388    -5.74004    -5.59414  0.00949046
         389    -5.53174    -5.59398  0.00946742
         390    -5.63338    -5.59408  0.00944368
         391    -5.63003    -5.59417  0.00941998
         392    -5.54303    -5.59404  0.00939685
